Day,# Station Entries
02/01/2020,5046
02/02/2020,3654
02/03/2020,5209
02/04/2020,5386
02/05/2020,5344
02/06/2020,5556
02/07/2020,6009
02/08/2020,4847
02/09/2020,3391
02/10/2020,5247
02/11/2020,5486
02/12/2020,5290
02/13/2020,5280
02/14/2020,5604
02/15/2020,4991
02/16/2020,3703
02/17/2020,4354
02/18/2020,5363
02/19/2020,5358
02/20/2020,5380
02/21/2020,5912
02/22/2020,5118
02/23/2020,3653
02/24/2020,5098
02/25/2020,5278
02/26/2020,5106
02/27/2020,5406
02/28/2020,5447
02/29/2020,3445
03/01/2020,2469
03/02/2020,3789
03/03/2020,3944
03/04/2020,3910
03/05/2020,3973
03/06/2020,3941
03/07/2020,3078
03/08/2020,2665
03/09/2020,4735
03/10/2020,5001
03/11/2020,4985
03/12/2020,4685
03/13/2020,4176
03/14/2020,2804
03/15/2020,1817
03/16/2020,2160
03/17/2020,1724
03/18/2020,1363
03/19/2020,1188
03/20/2020,1206
03/21/2020,796
03/22/2020,549
03/23/2020,774
03/24/2020,750
03/25/2020,832
03/26/2020,722
03/27/2020,769
03/28/2020,558
03/29/2020,492
03/30/2020,698
Estimated Day Loyola closed: 03/20/2020
